original_id,wiki_id,wiki_name,match_score
1,Q66107,Henry Kissinger,0.5
2,Q23685,Jimmy Carter,0.5
3,Q296661,Cyrus Vance,0.5
4,Q9582,Gerald Ford,0.5
5,Q42013,Anwar as-Sadat,0.5
7,Q959635,Andrew Young,0.5
8,Q1260,Kurt Waldheim,0.5
9,Q9588,Richard Nixon,0.5
10,Q296661,Cyrus Vance,0.5
12,Q146906,Hussein I.,0.5
13,Q294358,Warren Christopher,0.5
14,Q235699,Amy Beach,0.035714285714286
15,Q219353,Rosalynn Carter,0.5
16,Q128245,Mohammad Reza Pahlavi,0.5
17,Q2516,Helmut Schmidt,0.5
18,Q186525,Julius Nyerere,0.5
20,Q2006144,William E. Simon,0.5
22,Q62988,W. Michael Blumenthal,0.5
23,Q11237,Nelson Rockefeller,0.5
24,Q164535,Mobutu Sese Seko,1.0
25,Q130873,Menachem Begin,0.5
27,Q105480,Kenneth Kaunda,0.5
28,Q1066362,Charles W. Robinson,0.5
29,Q188783,Mosche Dajan,0.5
30,Q671393,David D. Newsom,0.5
31,Q7327552,Richard M. Moose,0.5
32,Q20966290,Éder Antônio Souza,0.16666666666667
33,Q1463,Ferdinand Marcos,0.5
34,Q1626737,Lester L. Wolff,0.5
35,Q972052,Philip Habib,0.5
36,Q295790,Carlos Andrés Pérez,0.5
37,Q1626737,Lester L. Wolff,0.5
38,Q313424,Ian Smith,0.5
39,Q470290,Joshua Nkomo,0.5
40,Q130873,Menachem Begin,0.5
41,Q184267,Andrei Gromyko,0.5
42,Q69103,Hassan II.,0.5
43,Q192634,Bülent Ecevit,0.5
44,Q21509791,G.H. Dar,0.2
47,Q168041,Zbigniew Brzezinski,0.5
49,Q131355,Zulfiqar Ali Bhutto,0.5
50,Q118725,Hafiz al-Assad,0.5
51,Q552916,Harold Brown,0.5
52,Q333085,David Owen,0.5
53,Q4945222,Boris Chaliapin,0.5
54,Q1875906,Jacob Koppel Javits,0.5
56,Q9576,James Callaghan,0.5
57,Q5429531,Fahd bin Salman bin Abdulaziz Al Saud,0.2
58,Q80504,Nicolae Ceaușescu,0.5
59,Q154545,Léopold Sédar Senghor,0.5
62,Q106235,Hans-Dietrich Genscher,0.5
66,Q34060,Yitzhak Rabin,0.5
67,Q5476824,Terence Todman,0.5
68,Q2096807,Stephen J. Solarz,0.5
69,Q443777,Orlando Letelier,0.5
70,Q336212,William R. Tolbert junior,0.5
71,Q9161,Josip Broz Tito,0.5
74,Q218443,Anastasio Somoza Debayle,0.5
75,Q331742,George McGovern,0.5
76,Q2158789,Robert S. Strauss,0.5
78,Q49216,Walter Mondale,0.5
79,Q128911,Ezer Weizman,0.5
80,Q219918,Samora Machel,0.5
81,Q310855,Houari Boumediene,0.5
82,Q313903,B. J. Vorster,0.5
83,Q311798,Yaafar al-Numeiry,0.5
84,Q5080900,Charles Melvin Price,0.5
85,Q719808,Elliot Richardson,0.5
86,Q33700407,Andrew J. Young,0.5
87,Q16005794,"Charles C. Diggs, Sr.",0.5
88,Q318479,Abel Muzorewa,0.5
89,Q38823,Ruhollah Chomeini,0.5
90,Q2158789,Robert S. Strauss,0.5
91,Q2124,Valéry Giscard d'Estaing,0.5
92,Q155649,Richard Holbrooke,0.5
93,Q134549,Ted Kennedy,0.5
94,Q1149,Indira Gandhi,0.5
95,Q202006,Olusegun Obasanjo,0.5
96,Q561177,Kriangsak Chamanan,1.0
97,Q8008305,"William E. Schaufele, Jr.",0.5
98,Q156781,Mário Soares,0.5
99,Q6771731,Marlene Garcia-Esperat,0.5
100,Q323417,Abraham A. Ribicoff,0.5
101,Q44819,Suharto,1.0
102,Q319015,Yigal Allon,0.5
103,Q561494,Pik Botha,0.5
105,Q131248,Lee Kuan Yew,1.0
106,Q366563,Dick Clark,0.5
107,Q34211,Yasser Arafat,0.5
108,Q822359,Kenneth Rush,0.5
109,Q332055,Omar Torrijos,0.5
110,Q200436,Rauf Denktaş,0.5
112,Q4859312,Barbara Smuts,0.5
113,Q16977,Deng Xiaoping,0.5
114,Q48231,Idi Amin,0.5
115,Q1706385,"Joseph A. Califano, Jr.",0.5
116,Q10707,Robert Mugabe,0.5
117,Q214450,Boniface Wimmer,0.5
118,Q6791019,Matthew Nimetz,0.5
119,Q15514927,William D. Rogers,0.5
120,Q155402,Ahmed Sékou Touré,0.5
121,Q167307,Dom Mintoff,0.5
122,Q7350607,Robert Vesco,0.5
123,Q733875,Elias Sarkis,0.5
124,Q27913544,Christopher Paul,0.5
125,Q307237,Abdul Halim Khaddam,0.5
126,Q365395,Michael Manley,0.5
127,Q2124,Valéry Giscard d'Estaing,0.5
128,Q209828,Siad Barre,0.5
129,Q521462,Joseph J. Sisco,0.5
130,Q552389,Spyros Kyprianou,0.5
131,Q7350607,Robert Vesco,0.5
132,Q4797759,Arthur A. Hartman,0.5
134,Q317681,Luis Echeverría Álvarez,0.5
135,Q209989,Hubert Humphrey,0.5
136,Q181665,Agostinho Neto,0.5
137,Q218661,Morarji Desai,0.5
138,Q6548136,Lillian Gordy Carter,0.5
140,Q50005,Giulio Andreotti,0.5
143,Q154104,Sam Nujoma,0.5
142,Q12876016,Dimitrios Bitsios,0.5
144,Q44517,Bruno Kreisky,0.5
145,Q1064126,Charles Diggs,0.5
146,Q6742685,Malcolm Toon,0.5
147,Q1889152,Mike Mansfield,0.5
148,Q315584,Takeo Fukuda,0.5
150,Q171989,James R. Schlesinger,0.5
