id,name,frequency
1,"KISSINGER, HENRY A",30004
2,"CARTER, JIMMY",15282
3,"VANCE, CYRUS R",14944
4,"FORD, GERALD R",6235
5,"SADAT, ANWAR",4676
6,"MONDALE, WALTER F",4066
7,"YOUNG, ANDREW",2806
8,"WALDHEIM, KURT",2058
9,"NIXON, RICHARD M",2042
10,"VANCE, CYRUS",1967
11,"CHENG, KIAC",1867
12,HUSSEIN I,1853
13,"CHRISTOPHER, WARREN",1443
14,"BEACH, P E",1439
15,"CARTER, ROSALYNN",1412
16,"PAHLAVI, MOHAMMAD REZA",1388
17,"SCHMIDT, HELMUT",1379
18,"NYERERE, JULIUS K",1332
19,"FAHMY, ISMAIL",1314
20,"SIMON, WILLIAM E",1295
21,"BREZHNEV, LEONID I",1291
22,"BLUMENTHAL, W MICHAEL",1188
23,"ROCKEFELLER, NELSON A",1130
24,MOBUTU SESE SEKO,1116
25,"BEGIN, MENACHEM",1114
26,"ATHERTON, ALFRED L JR",1083
27,"KAUNDA, KENNETH DAVID",1083
28,"ROBINSON, CHARLES W",1078
29,"DAYAN, MOSHE",1025
30,"NEWSOM, DAVID D",993
31,"MOOSE, RICHARD M",967
32,"SO, ANTONIO P",965
33,"MARCOS, FERDINAND",951
34,"WOLFF, LESTER L",948
35,"HABIB, PHILIP C",918
36,"PEREZ, CARLOS ANDRES",905
37,"WOLFF, LESTER",904
38,"SMITH, IAN",902
39,"NKOMO, JOSHUA",897
40,"BEGIN, MENAHEM",894
41,"GROMYKO, ANDREY ANDREYEVICH",893
42,HASSAN II,889
43,"ECEVIT, BULENT",888
44,DAR,837
46,"SELBY, SIRIKOOL",834
45,"SELBY, CARRIE",834
47,"BRZEZINSKI, ZBIGNIEW",828
48,"CLARK, MILFORD HARRISON JR",814
49,"BHUTTO, ALI",806
50,"ASAD, HAFIZ",803
51,"BROWN, HAROLD",791
52,"OWEN, DAVID",785
53,"CHALIAPIN, BORIS",775
54,"JAVITS, JACOB K",765
55,"NIEDZIELSKY, DORIS",762
56,"CALLAGHAN, JAMES",748
57,"FAHD, PRINCE",743
58,"CEAUSESCU, NICOLAE",740
59,"SENGHOR, LEOPOLD SEDAR",731
60,"COOKE, SARITA ANN",728
61,"EISENBERGER, SARITA ANN",728
62,"GENSCHER, HANS-DIETRICH",724
63,"COVER, HUGH ANTHONY",723
64,"VANDERSTEER, ALFRED R",714
65,"NIEDZIELSKI, DORIS",710
66,"RABIN, YITZHAK",705
67,"TODMAN, TERENCE A",700
68,"SOLARZ, STEPHEN J",696
69,"LETELIER, ORLANDO",685
70,"TOLBERT, WILLIAM R",673
71,"TITO, JOSIP BROZ",663
72,"RICHERT, MARTIN E",654
73,"SIMMONS, ROBERT F JR",650
74,"SOMOZA DEBAYLE, ANASTASIO",650
75,"MCGOVERN, GEORGE",645
76,"STRAUSS, ROBERT S",633
77,"KUMLER, CLIFFORD FREDERICK III",623
78,"MONDALE, WALTER",617
79,"WEIZMAN, EZER",606
80,"MACHEL, SAMORA",603
81,"BOUMEDIENE, HOUARI",600
82,"VORSTER, BALTHAZAR JOHANNES",595
83,"NIMEIRI, JAFAR",586
84,"PRICE, MELVIN",579
85,"RICHARDSON, ELLIOT L",568
86,"YOUNG, ANDREW J",567
87,"DIGGS, CHARLES C",564
88,"MUZOREWA, ABEL",564
89,"KHOMEINI, AYATOLLAH",561
90,"STRAUSS, ROBERT",557
91,"GISCARD D'ESTAING, VALERY",555
92,"HOLBROOKE, RICHARD",553
93,"KENNEDY, EDWARD M",553
94,"GANDHI, INDIRA",550
95,"OBASANJO, OLUSEGUN",549
96,KRIANGSAK CHAMANAN,544
97,"SCHAUFELE, WILLIAM E JR",543
98,"SOARES, MARIO",539
99,"GARCIA, MARLENE",534
100,"RIBICOFF, ABRAHAM",534
101,SUHARTO,528
102,"ALLON, YIGAL",526
103,"BOTHA, PIK",514
104,"LUNS, JOSEPH M A H",511
105,LEE KUAN YEW,507
106,"CLARK, DICK",500
107,"ARAFAT, YASSER",493
108,"RUSH, KENNETH",492
109,"TORRIJOS HERRERA, OMAR",492
110,"DENKTASH, RAUF",489
111,"LOCKABAUGH, ALLEN LEE",488
112,"SMUTS, BARBARA",488
113,TENG HSIAO-PING,485
114,"AMIN DADA, IDI",480
115,"CALIFANO, JOSEPH A",475
116,"MUGABE, ROBERT",472
117,"WIMMER, P S",469
118,"NIMETZ, MATTHEW",464
119,"ROGERS, WILLIAM D",461
120,"TOURE, SEKOU",458
121,"MINTOFF, DOMINIC",457
122,"VESCO, ROBERT",456
123,"SARKIS, ELIAS",448
124,"CHRISTOPHER, PAUL",444
125,"KHADDAM, ABD AL-HALIM",442
126,"MANLEY, MICHAEL N",439
127,"GISCARD D\'ESTAING, VALERY",438
128,MOHAMED SIAD BARRE,438
129,"SISCO, JOSEPH J",437
130,"KYPRIANOU, SPYROS",433
131,"VESCO, ROBERT L",432
132,"HARTMAN, ARTHUR A",431
133,"RICE, CHERYL",430
134,"ECHEVERRIA ALVAREZ, LUIS",429
135,"HUMPHREY, HUBERT H",428
136,"NETO, AGOSTINHO",427
137,"DESAI, MORARJI",426
138,"CARTER, LILLIAN",420
139,"PICKARD, ALVIN DUANE",420
140,"ANDREOTTI, GIULIO",419
141,"LUCAS, JOHN ADRIAN",419
143,"NUJOMA, SAM",417
142,"BITSIOS, DIMITRIOS",417
144,"KREISKY, BRUNO",415
145,"DIGGS, CHARLES",412
146,"TOON, MALCOLM",411
147,"MANSFIELD, MIKE",410
148,"FUKUDA, TAKEO",408
149,"MELENDEZ, GERARDO C",407
150,"SCHLESINGER, JAMES R",407
151,"DENT, FREDERICK B",402
152,"SOLARZ, STEPHEN",402
153,"GONZALEZ, MANUEL GONZALEZ",401
154,"CARAMANLIS, CONSTANTINE",398
155,"KREPS, JUANITA M",396
156,"ROCKEFELLER, DAVID",392
157,"PRESS, FRANK",389
158,"RICHARD, IVOR",387
159,"COOPER, RICHARD N",386
160,"VALENZUELA BELTRAN, ENRIQUE HERNAN",384
161,"GENTRY, ROY SHELTON",379
162,"INGERSOLL, ROBERT S",378
163,"CHONA, MARK",376
164,"BRANDT, WILLY",375
165,"KHODAREV, EDOUARD",373
166,"BOURGUIBA, HABIB",371
167,"STARR, RICHARD CHARLES",370
168,"BONGO, EL HADJ OMAR",369
169,"THATCHER, MARGARET",368
170,"DUBS, ADOLPH",367
171,FLETCHER,365
172,HUA KUO-FENG,364
173,"PERCY, CHARLES",364
174,"DEMIREL, SULEYMAN",360
175,"CASTRO RUZ, FIDEL",359
178,"SIHANOUK, NORODOM",358
177,"MOOSE, RICHARD",358
176,"GHALI, BOUTROS",358
179,"HOUPHOUET-BOIGNY, FELIX",356
180,"LEWIS, SAMUEL W",353
181,"EILTS, HERMANN F",352
182,"MALIK, ADAM",350
183,"HUNTER, CARRIE",347
184,"SIMON, WILLIAM",347
185,"ZABLOCKI, CLEMENT J",347
186,VASHCHENKO,340
187,"PELL, CLAIBORNE",339
188,CHMYKHALOV,336
189,"KHALIL, MUSTAPHA",336
190,"KOUNTCHE, SEYNI",335
191,"KENYATTA, JOMO",333
192,MAO TSE-TUNG,333
193,"QADHAFI, MU\'AMMAR",333
195,"LOW, STEPHEN",332
194,LON NOL,332
196,"GRAVEL, MIKE",330
197,"OHIRA, MASAYOSHI",330
198,"DAVIS, NATHANIEL",327
199,"MAKARIOS, ARCHBISHOP",326
200,"ATHERTON, ALFRED L",325
201,"HOLTZMAN, ELIZABETH",325
202,"BERGLAND, ROBERT",323
203,"VAKY, VIRON P",323
204,"ROMULO, CARLOS P",321
205,PARK CHUNG HEE,320
206,"ALBERT, CARL",314
207,"PERCY, CHARLES H",314
208,"SITHOLE, NDABANINGI",313
209,"ZIA UL-HAQ, MOHAMMAD",312
210,"DEAN, JOHN GUNTHER",310
212,HARCOS,309
213,KIM TAE-CHUNG,309
211,"BHUTTO, ZULFIKAR ALI",309
214,"SAUD, PRINCE",308
215,"KISHKORN, STEVEN L",306
216,TONGSUN PARK,306
217,"SCOTT, HUGH",305
218,"KISSINGER, HENRY A.",304
219,"ENDERS, THOMAS O",303
220,"QADHAFI, MU'AMMAR",303
221,"BYRD, ROBERT C",302
222,"GEISEL, ERNESTO",301
223,"ESMAIL, SAMI",300
224,"HIMES, REX L",300
225,"SCRANTON, WILLIAM W",300
226,"KREPS, JUANITA",299
227,"EHLINGER, THOMAS",297
228,"MEIR, GOLDA",297
229,"FOURIE, BRAND",296
230,"MORAN, MICHELLE MARIE",296
231,"BROWN, L DEAN",295
232,"GIEREK, EDWARD",294
233,HUSSEIN,294
234,"LOPEZ PORTILLO, JOSE",293
235,"GARBA, JOSEPH N",290
236,HUANG HUA,289
237,"THORN, GASTON",288
238,"MARTIN, GARY S",285
239,"DIGGS, CHARLES C JR",282
240,"JOHN PAUL II, POPE",281
241,LE THI NGOC LIENJN,278
242,"FRASER, DONALD M",277
243,"BRADEMAS, JOHN",276
244,"CARTER, JAMES E",276
245,"MARCOS, IMELDA",275
246,"RAHMAN, ZIAUR",275
247,"VANCE, GRACE",275
250,"MORO, ALDO",274
248,"EASUM, DONALD B",274
249,"KISSINGER, HENRY",274
252,"BAKER, HOWARD",273
251,"AL-ASSAD, HAFIZ",273
253,"SHOWKET, ZIYAD K",272
254,"SMITH, KENNETH STEVE",272
255,"DINITZ, SIMCHA",270
256,"MELOY, FRANCIS E JR",270
257,"PERES, SHIMON",270
258,"SONNENFELDT, HELMUT",270
259,"BALAGUER, JOAQUIN",269
260,"BENSON, LUCY WILSON",269
261,"CAGLAYANGIL, IHSAN",267
262,JUAN CARLOS I,267
263,"MIKI, TAKEO",267
264,"SCHAUFELE, WILLIAM E",267
265,"SHULTZ, GEORGE P",267
268,"SONODA, SUNAO",266
266,"CASEY, WILLIAM J",266
267,"CHURCH, FRANK",266
269,"HESS, RUDOLF",265
270,"YAMANI, AHMAD ZAKI",265
271,"ANDERSON, JACK",264
272,"JENKINS, ROY",264
273,"KATZ, JULIUS L",264
274,"BELTRAN, E W",263
275,"RIFAI, ZAYD",263
276,"KARAMANLIS, CONSTANTINE",262
277,CHOU EN-LAI,261
278,"GILETTA, NORBERTO A",260
279,"INOUYE, DANIEL K",256
280,"LOPEZ MICHELSEN, ALFONSO",256
281,"RYAN, LEO",256
284,"WEST, JOHN C",255
282,"DOYLE, WILLIAM E",255
283,"PINOCHET UGARTE, AUGUSTO",255
286,"CARLSEN, JULIE ANN",254
285,"BARRE, RAYMOND",254
287,"ROCKEFELLER, NELSON",253
288,"VEST, GEORGE S",253
289,"DAOUD, MOHAMMAD",252
290,"WEISSNER, STEVEN",252
291,"MOYNIHAN, DANIEL P",251
292,"PICKERING, THOMAS R",249
293,"RUMSFELD, DONALD",249
294,"COOPER, RICHARD",247
295,DENG XIAOPING,246
296,"RICHARDSON, ELLIOT",246
297,"SAVIMBI, JONAS",245
298,"LORENZ, PETER",244
299,"SEELYE, TALCOTT W",244
300,"SHAHI, AGHA",243
301,"HOLBROOKE, RICHARD C",242
303,"SCHLESINGER, JAMES",241
302,"GREEN, MARSHALL",241
